algorithm,data_size,case_type,time_micros
selection,100,random,56
bubble,100,random,94
merge,100,random,215
selection,100,sorted,40
bubble,100,sorted,40
merge,100,sorted,203
selection,100,reversed,47
bubble,100,reversed,87
merge,100,reversed,201
selection,500,random,975
bubble,500,random,1856
merge,500,random,902
selection,500,sorted,837
bubble,500,sorted,878
merge,500,sorted,839
selection,500,reversed,894
bubble,500,reversed,1897
merge,500,reversed,848
selection,1000,random,3484
bubble,1000,random,6670
merge,1000,random,1567
selection,1000,sorted,2402
bubble,1000,sorted,2357
merge,1000,sorted,1283
selection,1000,reversed,2497
bubble,1000,reversed,5047
merge,1000,reversed,1131
selection,5000,random,41443
bubble,5000,random,84893
merge,5000,random,3867
selection,5000,sorted,31543
bubble,5000,sorted,31794
merge,5000,sorted,3513
selection,5000,reversed,33370
bubble,5000,reversed,71113
merge,5000,reversed,3518
